Name,ID,Experiment,Season,Beh.Cat,Condition,HR_Increase,mean10s
Sandie,19,Novel_Object,summer,High,presentationObj,NA,51.79457875
Sandie,19,Pre_Feeding,summer,Low,before,NA,35.88188667
Sandie,19,Pre_Feeding,summer,Low,foodPresentation,8.80,39.39632
Tudor,20,Control,autumn,Low,control,NA,35.53570833
Tudor,20,Novel_Object,autumn,Low,dropObj,35.18476,67.76089444
Tudor,20,Novel_Object,autumn,Low,presentationObj,7.04741,45.50984143
Tudor,20,Novel_Object,autumn,Low,removeObj,13.77685,43.20267
Tudor,20,Pre_Feeding,autumn,High,before,5.60872,45.6715125
Tudor,20,Pre_Feeding,autumn,High,foodPresentation,0.98879,39.21971
Tudor,20,Control,summer,Low,control,10.06345,28.640222
Tudor,20,Novel_Object,summer,Low,dropObj,13.40016,58.605562
Tudor,20,Novel_Object,summer,Low,presentationObj,NA,41.53855286
Tudor,20,Novel_Object,summer,Low,removeObj,15.71,50.78565111
Tudor,20,Pre_Feeding,summer,High,before,NA,48.22635625
Tudor,20,Pre_Feeding,summer,High,foodPresentation,30.21512,61.18159111
